hospitalid,branchName,hospitalAddress,contactinfo,facilities
129,Kenepuru quo Hospital,"2 Nicholas Point
Fisherside 8269",6472892542,"General Medicine, Pharmacy"
130,Kenepuru rerum Hospital,"PO Box 77
Rohetere 9325",6484530910,"Gastroenterology, Surgery"
131,Wellington Regional ipsa Hospital,"988 Stephanie Road
RD 1
Whangamaunga 6985",6475430132,Dermatology
132,Kenepuru nesciunt Hospital,"PO Box 44
Stewartburgh 1406",6473989247,Emergency Medicine
133,Starship Children’s Health saepe Hospital,"PO Box 86
Mokohoro 9835",6440833826,Neurology
134,Auckland City corporis Hospital,"PO Box 71
Armstronghaven 5330",6479215730,"Neurology, Pharmacy, Emergency Medicine"
135,Starship Children’s Health voluptas Hospital,"517 Melissa Crescent
Kowhaitahi 6240",6468025069,"General Medicine, Pharmacy"
136,Starship Children’s Health perferendis Hospital,"1 Whangawhakaiti Alley
Woodport 2512",6481635237,Pediatric
137,Wellington Regional laborum Hospital,"23 Freeman Way
RD 9
Mount Hansonneath 1981",6426149033,Radiology
138,Kenepuru magnam Hospital,"Suite 327
332 Conway Avenue
Kylieton 9352",6430644412,"Radiology, Emergency Medicine, Oncology"
139,Starship Children’s Health placeat Hospital,"44 Shailer Street
RD 4
Tangirohemata 9354",6444996400,"Orthopedics, Surgery, Gastroenterology"
140,Hutt ipsam Hospital,"Unit 10
597 Anderson Road
Horongaurutangi 6190",6433709885,"Cardiology, Orthopedics, Dermatology"
141,Waitakere placeat Hospital,"101 Matthew Approach
RD 1
Haywardgate 6219",6427797701,Oncology
142,Hutt distinctio Hospital,"6 Thomas Street
Kawatapu 5144",6449055475,"Psychiatry, Pediatric, Gastroenterology"
143,Kenepuru perferendis Hospital,"78 Wood Arcade
Motuiti 7601",6420105583,Surgery
144,Starship Children’s Health odio Hospital,"4 Mokotipukiwi Street
Maungarangiwhitu 8884",6482494323,Radiology
145,Wellington Regional ipsam Hospital,"6 Morton Crossing
RD 6
Maungatahi 4916",6437719406,"Oncology, Dermatology"
146,Starship Children’s Health iste Hospital,"820 Rongotainui Corner
Ngauruweka 4577",6411348854,Psychiatry
147,Wellington Regional inventore Hospital,"PO Box 3
Horowaka 8941",6424802042,"Cardiology, Oncology, Dermatology"
148,Waitakere reiciendis Hospital,"904 Whanganui Street
RD 3
Pricemouth 9004",6415424866,Cardiology
149,Starship Children’s Health iure Hospital,"Apt. 579
13 Kennedy Street
Burtonland 5130",6400800590,"Dermatology, Pediatric, Pharmacy"
150,Starship Children’s Health pariatur Hospital,"650 Geoffrey Arcade
Lanetown 9679",6412430764,Neurology
151,Kenepuru odit Hospital,"21 Powell-Rush Quay
Manawawai 2552",6408291423,"Cardiology, Dermatology"
152,Hutt iste Hospital,"3 Kowhaitaumakau Street
Wellsland 7334",6468686096,"Dermatology, Radiology, Neurology"
153,Hutt soluta Hospital,"1 Wharenui Beach Road
High McLeodings 8059",6450416845,"Cardiology, Radiology"
154,Starship Children’s Health ipsa Hospital,"8 Lucas Causeway
Whangarohe 2193",6432108217,"Gastroenterology, Psychiatry"
155,Hutt hic Hospital,"52 Avery Anchorage
Korotipu 0684",6458389437,"Orthopedics, Pharmacy"
156,Hutt non Hospital,"Apt. 922
42 O'Brien Place
Matahoro 5129",6421971611,"Oncology, Dermatology, Neurology"
157,Hutt quaerat Hospital,"184 Whakaiti Street
Paulaland 2559",6446036521,"General Medicine, Cardiology, Orthopedics"
158,Kenepuru minima Hospital,"PO Box 54
Foleyport 2231",6469264207,"Emergency Medicine, Neurology"
159,Wellington Regional saepe Hospital,"84 Broughan-Phillips Street
Tipumokotipu 8836",6415153494,"Pharmacy, Pediatric, Cardiology"
160,Kenepuru accusamus Hospital,"PO Box 864
Wallport 2101",6481953571,"Cardiology, Surgery"
161,Kenepuru sequi Hospital,"671 Hills Keys
Toms Flats 6000",6452141647,"Gastroenterology, Radiology, Orthopedics"
162,Waitakere unde Hospital,"3 Bryant Road
RD 9
Paulgate 8472",6477736521,"Pediatric, Pharmacy, Radiology"
163,Wellington Regional unde Hospital,"PO Box 902
Tangitererangi 8426",6484766801,"Orthopedics, Gastroenterology"
164,Auckland City omnis Hospital,"822 Doherty-Harris Rise
Gordonburn 5743",6493798575,"Emergency Medicine, Radiology, Pediatric"
165,Auckland City tempora Hospital,"Level 9
68 Murphy Drive
Taitipuwhaka 9784",6472541331,Gastroenterology
166,Waitakere soluta Hospital,"97 Smith Street
Rongonui 5062",6489401963,"Neurology, Surgery"
167,Wellington Regional ipsam Hospital,"554 Koroterenuku Avenue
Wekawhangaroto 8603",6484206812,Orthopedics
168,Hutt accusamus Hospital,"400 Anderson-McLeod Parade
Motuiti 8030",6495463712,"Dermatology, Surgery, Emergency Medicine"
169,Wellington Regional vel Hospital,"298 Corlett Crescent
RD 6
Wekapuketai 2183",6428460376,"Emergency Medicine, Psychiatry"
170,Starship Children’s Health aspernatur Hospital,"5 McKay Place
Terewhare 8237",6486152056,Cardiology
171,Waitakere error Hospital,"588 Emma Esplanade
Kowhaiawangauru 2158",6481861553,Emergency Medicine
172,Wellington Regional dignissimos Hospital,"35 Knight Cross
McKennaburgh 5127",6426786738,"Neurology, General Medicine"
173,Starship Children’s Health eaque Hospital,"8 Margaret Road
South Harrisonville 8007",6445799473,"Oncology, Dermatology"
174,Wellington Regional error Hospital,"Flat 31
413 Matakoroiti Drive
Simpsonberg 5835",6428412736,Cardiology
175,Auckland City cupiditate Hospital,"61 Pongaurumaunga Road
Lower Smithberg 6980",6449463498,Cardiology
176,Wellington Regional labore Hospital,"5 Pukewakatipu Road
Rototahi 7760",6484245482,"Pediatric, Emergency Medicine, Gastroenterology"
177,Starship Children’s Health odit Hospital,"29 Jackson Alleyway
Oliverfort 2618",6446880736,Pediatric
178,Waitakere dolorum Hospital,"504 Scott-Jackson Gardens
RD 4
Horotapu 9708",6428690521,"Radiology, Dermatology, Gastroenterology"
179,Hutt reiciendis Hospital,"3 Papaparongowhero Grove
RD 6
Blakebury 5840",6480492961,"Gastroenterology, Neurology"
180,Auckland City nulla Hospital,"3 Horonuku Street
Harperberg 8898",6436215134,"Surgery, Dermatology, Emergency Medicine"
181,Wellington Regional distinctio Hospital,"532 Raewyn Cross
Awamokokiwi 9534",6412531146,General Medicine
182,Kenepuru occaecati Hospital,"61 Papapanui Crescent
Pikeings 2607",6464868612,"Pediatric, Neurology, Emergency Medicine"
183,Hutt quibusdam Hospital,"442 Samantha Keys
Collis Flats 9852",6404465712,"Pharmacy, Psychiatry"
184,Hutt labore Hospital,"PO Box 16
Elizabethfort 9593",6466439258,Cardiology
185,Auckland City tenetur Hospital,"787 Kowhaiterewaka Street
Lower Wallacemouth 2264",6483109463,Dermatology
186,Auckland City aut Hospital,"8 Dyer Street
Dicksongate 9834",6439947218,Neurology
187,Wellington Regional quas Hospital,"4 Forrest Highway
Awamotu 6475",6497723060,"Pediatric, Neurology, General Medicine"
188,Waitakere dicta Hospital,"2 Tangitipu Alley
Kowhaitaitai 9367",6452773780,Pharmacy
189,Waitakere reiciendis Hospital,"Apt. 330
3 Tereiti Street
Ngaurukowhaimata 5311",6439740604,Gastroenterology
190,Waitakere laborum Hospital,"9 Taipopo Road
RD 5
Jonestown 8124",6412773875,"Gastroenterology, Surgery, General Medicine"
191,Wellington Regional praesentium Hospital,"Suite 806
591 Porter Avenue
Jones Flats 9478",6464302018,Radiology
192,Auckland City nemo Hospital,"79 Cox Cross
Scottberg 2160",6474804460,"Gastroenterology, Psychiatry, Cardiology"
193,Wellington Regional vero Hospital,"6 Davenport Road
Maungawhero 6204",6474868438,"Neurology, General Medicine"
194,Starship Children’s Health sed Hospital,"4 Emily Pass
RD 2
Bruceing 6916",6445330681,Neurology
195,Hutt odit Hospital,"824 Herd Causeway
Smithgate 2422",6419018341,Gastroenterology
196,Hutt aperiam Hospital,"136 Smith Street
Kellyburn 9052",6409056599,"Dermatology, Orthopedics"
197,Waitakere deserunt Hospital,"6 Gilmore Road
RD 1
Waitapu 5281",6410587607,"Oncology, Pharmacy, Surgery"
198,Hutt nam Hospital,"Suite 353
32 Bradley-Richards Access
Mount Jamiesonland 3809",6489246555,"Cardiology, Orthopedics, Oncology"
199,Wellington Regional maiores Hospital,"360 Alexandra Avenue
Rotohoro 5310",6464102595,"Orthopedics, General Medicine, Pharmacy"
200,Kenepuru doloribus Hospital,"Unit 43
35 Tangiwhenua Road
Wharekowhaikawa 6480",6464126602,Psychiatry
